PRISM Time Series Data
Location:  Lat: 40.6765   Lon: -88.7846   Elev: 222m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2019-01-01 - 2022-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jan-23
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2020-01-08,0.00,-7.2,-0.8,5.7,-4.7,0.41,3.86
2020-01-09,0.00,-8.1,-2.6,2.9,-10.1,1.04,3.10
2020-01-10,0.73,1.8,6.6,11.4,4.8,0.07,5.43
2020-01-11,60.97,1.8,7.2,12.5,7.2,0.03,1.13
2020-01-12,2.87,-6.6,-1.9,2.7,-2.2,0.01,0.71
2020-01-13,0.00,-5.3,-2.5,0.4,-2.7,0.06,0.87
2020-01-14,0.00,-0.6,1.0,2.6,-0.4,0.08,1.41
2020-01-15,0.00,-1.5,3.3,8.1,1.5,0.02,3.32
2020-01-16,0.00,-10.0,-2.3,5.3,-2.3,0.00,0.95
2020-01-17,0.00,-10.5,-6.9,-3.2,-11.5,0.44,2.00
2020-01-18,19.99,-7.3,-2.6,2.1,-4.3,0.08,1.68
2020-01-19,0.00,-16.5,-6.8,2.9,-10.2,0.07,1.01
2020-01-20,0.00,-16.4,-13.3,-10.2,-15.5,0.35,0.77
2020-01-21,0.85,-12.5,-8.7,-4.9,-10.6,0.21,0.97
2020-01-22,0.00,-12.1,-6.1,-0.1,-7.6,0.22,2.45
2020-01-23,0.76,-5.1,-2.0,1.1,-4.5,0.23,2.42
2020-01-24,7.91,-1.7,-0.2,1.3,-0.2,0.03,0.45
2020-01-25,4.23,-0.2,1.2,2.7,0.8,0.02,0.43
2020-01-26,0.00,-2.8,-1.2,0.4,-1.5,0.12,0.83
2020-01-27,0.00,-4.0,-0.6,2.8,-2.9,0.06,1.82
2020-01-28,0.00,-3.4,-2.0,-0.5,-2.5,0.06,0.74
2020-01-29,0.00,-2.4,-1.3,-0.2,-3.2,0.15,1.20
2020-01-30,0.00,-2.1,-1.1,-0.1,-2.9,0.25,1.30
2020-01-31,0.00,-1.9,0.0,1.9,-2.0,0.16,2.11
2020-02-01,1.79,-2.0,0.6,3.3,0.0,0.00,1.55
2020-02-02,0.00,0.6,1.8,3.1,-0.1,0.12,1.58
2020-02-03,0.00,-0.7,7.2,15.1,1.6,0.10,8.62
2020-02-04,0.00,0.1,6.7,13.3,2.9,0.30,6.03
2020-02-05,0.00,-1.8,0.4,2.7,-3.6,0.85,2.25
2020-02-06,6.46,-4.0,-2.1,-0.1,-5.0,0.20,2.19
2020-02-07,0.00,-6.6,-3.8,-1.1,-6.1,0.28,1.66
2020-02-08,1.16,-6.2,-1.9,2.4,-5.6,0.17,3.96
2020-02-09,0.00,-6.0,-2.5,1.0,-4.7,0.19,1.87
2020-02-10,3.17,-3.9,-0.7,2.4,-0.7,0.01,1.18
2020-02-11,0.00,-3.7,-1.8,0.1,-3.2,0.19,1.12
2020-02-12,0.00,-4.5,-0.2,4.0,-4.3,0.19,3.63
2020-02-13,8.52,-5.5,-2.1,1.3,-2.1,0.00,1.29
2020-02-14,0.00,-21.4,-13.0,-4.7,-16.5,0.16,0.86
2020-02-15,0.00,-21.1,-13.6,-6.2,-17.7,0.23,1.18
2020-02-16,0.00,-10.2,-4.4,1.5,-6.1,0.06,2.27
2020-02-17,0.00,-9.0,-2.5,4.1,-3.4,0.07,3.13
2020-02-18,8.67,-0.4,1.9,4.2,1.5,0.05,1.59
2020-02-19,0.00,-7.0,-2.0,2.9,-4.6,0.43,2.82
2020-02-20,0.00,-9.9,-5.0,-0.2,-10.5,0.69,2.93
2020-02-21,0.00,-12.0,-7.9,-3.7,-14.4,0.43,2.65
2020-02-22,0.00,-10.7,-4.1,2.4,-9.6,0.54,4.44
2020-02-23,0.00,-4.3,2.7,9.8,-4.6,1.23,7.52
2020-02-24,0.07,-0.1,7.0,14.2,0.8,0.26,9.04
2020-02-25,13.65,1.1,3.3,5.5,2.3,0.15,1.12
2020-02-26,7.70,-2.6,-0.1,2.3,-0.3,0.00,0.74
2020-02-27,0.00,-7.4,-3.8,-0.3,-6.4,0.14,2.15
2020-02-28,0.00,-7.1,-1.8,3.4,-7.2,0.56,3.69
2020-02-29,0.00,-10.4,-6.0,-1.7,-8.5,0.39,1.72
2020-03-01,0.00,-9.8,-3.1,3.5,-6.6,0.47,4.29
2020-03-02,1.30,0.2,7.8,15.5,4.4,0.36,7.78
2020-03-03,0.00,-2.0,3.8,9.6,0.4,0.13,5.25
2020-03-04,0.00,-1.2,5.3,11.8,-1.3,0.26,8.33
2020-03-05,0.00,-1.2,5.1,11.3,-3.3,0.80,9.36
2020-03-06,0.00,-0.4,6.6,13.5,-2.2,1.32,10.70
2020-03-07,0.00,-6.0,0.4,6.8,-5.8,0.25,5.97
2020-03-08,0.00,-3.2,4.6,12.5,-3.7,0.59,10.28
2020-03-09,0.00,2.9,10.9,19.0,-1.2,2.37,17.11
2020-03-10,19.61,3.6,8.8,14.0,8.5,0.21,4.90
2020-03-11,0.00,2.9,4.1,5.3,2.5,0.23,1.63
2020-03-12,0.00,1.6,4.6,7.5,3.6,0.09,2.26
2020-03-13,0.00,-0.1,6.6,13.3,5.2,0.08,3.15
2020-03-14,3.24,0.1,5.4,10.8,-3.6,0.96,8.98
2020-03-15,6.19,-2.0,0.2,2.3,-0.9,0.05,1.61
2020-03-16,0.00,-2.2,2.0,6.1,-1.2,0.13,3.71
2020-03-17,1.25,0.4,2.5,4.6,2.0,0.12,1.49
2020-03-18,0.00,1.4,5.1,8.8,-0.8,0.61,6.05
2020-03-19,9.46,4.2,6.2,8.3,6.1,0.03,1.77
2020-03-20,9.78,5.2,11.8,18.4,11.8,0.05,2.72
2020-03-21,0.00,-2.9,1.7,6.3,-1.7,0.61,2.48
2020-03-22,0.00,-4.4,-0.9,2.6,-5.5,0.29,3.47
2020-03-23,5.13,-2.8,-1.0,0.7,-1.4,0.00,1.48
2020-03-24,0.00,-0.3,2.5,5.3,0.3,0.16,2.44
2020-03-25,0.00,-2.0,2.4,6.9,1.6,0.00,2.23
2020-03-26,0.00,1.4,7.5,13.7,5.8,0.08,5.54
2020-03-27,2.60,3.9,8.1,12.3,7.3,0.09,2.09
2020-03-28,2.06,4.9,9.8,14.7,9.8,0.14,2.26
2020-03-29,1.82,7.3,13.9,20.5,12.0,0.24,8.72
2020-03-30,0.00,3.0,9.0,15.1,2.1,1.22,10.22
2020-03-31,0.00,1.1,8.5,15.8,1.6,0.38,11.56
2020-04-01,0.00,0.4,3.5,6.6,0.9,0.41,3.12
2020-04-02,0.00,0.9,7.8,14.6,1.8,0.37,10.01
2020-04-03,0.00,4.1,11.3,18.6,4.4,1.10,13.81
2020-04-04,0.97,2.1,11.5,20.9,5.8,0.31,13.84
2020-04-05,0.00,0.0,4.5,9.0,1.9,0.09,3.94
2020-04-06,0.00,0.5,8.2,15.8,-0.7,0.40,13.18
2020-04-07,0.00,4.1,12.1,20.1,10.3,0.68,10.06
2020-04-08,0.00,10.5,18.9,27.3,14.5,0.20,19.59
2020-04-09,1.91,3.3,15.6,27.8,6.2,0.45,28.25
2020-04-10,0.00,-1.9,4.7,11.2,-4.5,0.94,8.91
2020-04-11,0.00,-0.5,6.2,12.9,-3.7,1.72,11.01
2020-04-12,6.09,7.1,13.6,20.2,3.4,1.13,18.17
2020-04-13,3.12,1.4,9.6,17.9,8.7,0.13,6.04
2020-04-14,0.00,-2.5,2.6,7.7,-5.5,1.17,6.50
2020-04-15,1.97,-3.5,2.0,7.5,-7.6,0.58,7.33
2020-04-16,0.28,-4.4,1.0,6.3,-6.2,0.26,6.31
2020-04-17,10.34,-2.2,2.4,7.1,-4.0,0.06,6.46
2020-04-18,0.82,-1.3,1.5,4.3,-0.2,0.13,1.93
2020-04-19,0.00,0.6,7.5,14.3,0.8,0.73,10.11
2020-04-20,0.00,-0.6,9.0,18.6,-0.0,0.44,15.36
2020-04-21,0.00,1.4,9.7,18.0,1.3,0.98,13.74
2020-04-22,0.00,1.0,7.5,14.0,-5.9,1.66,12.85
2020-04-23,0.78,5.9,14.9,24.0,4.5,0.72,23.87
2020-04-24,1.55,7.1,12.7,18.4,10.0,0.25,7.80
2020-04-25,26.41,5.7,10.7,15.7,7.9,0.16,5.13
2020-04-26,33.46,5.2,7.7,10.2,6.0,0.17,2.41
2020-04-27,0.00,4.0,10.7,17.3,2.9,0.77,12.57
2020-04-28,0.15,8.6,13.8,19.1,8.8,0.91,12.08
2020-04-29,22.89,9.8,17.3,24.8,13.3,0.18,14.77
2020-04-30,23.75,8.3,10.0,11.7,7.8,0.28,3.27
2020-05-01,0.00,4.0,10.5,17.1,4.2,0.50,11.50
2020-05-02,2.01,8.6,14.6,20.5,7.9,2.14,14.05
2020-05-03,8.10,12.5,20.5,28.4,12.0,1.50,26.31
2020-05-04,2.59,5.8,13.2,20.6,5.2,1.88,15.57
2020-05-05,6.06,5.3,10.1,14.9,4.6,0.41,8.01
2020-05-06,5.62,3.2,6.1,9.1,4.6,0.23,2.18
2020-05-07,0.00,6.2,11.9,17.7,3.9,1.16,13.32
2020-05-08,0.00,6.2,13.4,20.5,4.5,1.35,16.56
2020-05-09,0.00,-1.5,5.0,11.5,-3.6,0.67,9.71
2020-05-10,0.00,3.1,9.8,16.4,-1.8,2.11,14.42
2020-05-11,0.00,4.3,7.7,11.0,2.7,0.97,5.18
2020-05-12,0.00,1.8,6.5,11.3,0.3,0.82,7.57
2020-05-13,0.00,4.5,11.1,17.8,0.6,1.36,14.66
2020-05-14,0.00,9.1,12.1,15.1,7.9,0.23,7.84
2020-05-15,30.60,14.5,19.6,24.7,17.1,0.23,9.34
2020-05-16,0.78,13.2,18.3,23.5,15.2,0.17,11.92
2020-05-17,24.20,13.4,19.5,25.5,15.2,0.20,15.95
2020-05-18,51.03,13.0,17.6,22.3,15.7,0.24,6.38
2020-05-19,15.01,12.2,15.4,18.5,13.1,0.16,5.58
2020-05-20,1.39,12.5,15.0,17.6,14.1,0.21,2.45
2020-05-21,0.00,12.3,14.3,16.3,11.6,0.63,4.02
2020-05-22,0.00,10.2,13.7,17.1,12.3,0.00,4.75
2020-05-23,0.00,14.9,19.3,23.7,14.5,1.05,13.49
2020-05-24,0.57,16.5,22.7,28.9,18.0,0.46,20.10
2020-05-25,0.69,18.2,24.7,31.2,19.0,0.29,24.88
2020-05-26,9.62,18.8,24.3,29.7,19.4,0.33,19.26
2020-05-27,1.08,18.6,24.4,30.1,19.7,0.59,20.51
2020-05-28,0.00,19.5,24.0,28.5,19.2,0.42,17.67
2020-05-29,8.91,16.4,22.3,28.2,17.4,0.50,20.37
2020-05-30,0.00,10.9,17.7,24.6,10.6,1.27,18.30
2020-05-31,0.00,10.0,16.9,23.7,8.7,1.47,18.69
2020-06-01,0.00,12.1,18.3,24.5,6.8,3.76,22.36
2020-06-02,0.00,17.2,21.9,26.7,11.2,5.59,20.98
2020-06-03,0.00,20.0,26.7,33.5,17.2,3.56,32.45
2020-06-04,3.26,19.1,24.5,29.9,18.7,0.79,21.29
2020-06-05,0.00,19.5,24.7,29.9,18.8,1.13,21.96
2020-06-06,0.00,18.9,25.2,31.4,19.0,1.66,25.36
2020-06-07,0.30,15.7,23.2,30.7,11.6,5.10,30.60
2020-06-08,0.00,16.6,24.3,32.0,11.8,5.12,33.07
2020-06-09,0.00,21.3,27.3,33.3,11.4,9.61,41.69
2020-06-10,9.42,22.3,25.7,29.1,22.2,1.03,15.04
2020-06-11,0.45,13.9,19.9,25.9,14.2,1.20,15.67
2020-06-12,0.00,14.2,21.4,28.6,10.8,1.85,28.64
2020-06-13,0.00,13.2,21.7,30.2,8.9,3.56,33.52
2020-06-14,1.04,12.0,19.1,26.3,9.3,2.00,23.99
2020-06-15,0.00,9.7,17.7,25.7,6.0,2.31,24.64
2020-06-16,0.00,11.8,19.6,27.4,6.6,2.31,28.93
2020-06-17,0.00,14.8,22.0,29.2,12.7,1.87,26.76
2020-06-18,0.00,16.3,23.4,30.5,12.8,3.16,30.03
2020-06-19,0.00,17.8,24.6,31.5,14.3,2.73,31.04
2020-06-20,0.00,18.6,25.7,32.7,15.8,2.41,33.21
2020-06-21,6.89,19.5,25.5,31.5,19.0,0.39,25.28
2020-06-22,4.31,19.1,24.5,29.9,19.6,0.18,20.36
2020-06-23,4.42,15.4,22.9,30.3,18.9,0.34,20.73
2020-06-24,0.00,14.5,20.1,25.6,13.4,0.86,18.95
2020-06-25,0.00,15.1,21.5,27.9,13.2,1.49,24.38
2020-06-26,0.01,18.2,24.2,30.2,14.8,2.71,28.78
2020-06-27,13.18,21.5,27.5,33.5,20.3,1.04,30.18
2020-06-28,0.26,20.2,25.2,30.1,21.4,0.20,16.46
2020-06-29,0.00,21.8,26.2,30.6,22.0,0.46,18.91
2020-06-30,0.00,21.9,27.2,32.5,22.3,1.05,22.07
2020-07-01,0.00,19.8,24.4,29.0,21.3,0.29,13.40
2020-07-02,0.00,20.5,25.6,30.6,21.1,1.05,18.20
2020-07-03,0.00,18.6,25.6,32.6,18.6,1.30,30.31
2020-07-04,0.00,18.7,25.7,32.7,18.2,0.97,31.35
2020-07-05,0.00,19.6,26.2,32.9,19.1,0.98,30.92
2020-07-06,0.00,20.0,26.5,33.1,19.7,1.31,30.17
2020-07-07,0.04,21.2,27.5,33.7,20.8,0.71,30.83
2020-07-08,0.24,20.9,27.4,33.9,20.8,1.23,30.17
2020-07-09,2.14,20.8,27.4,34.0,21.3,0.49,29.81
2020-07-10,14.45,20.4,26.8,33.2,22.1,0.39,24.35
2020-07-11,0.00,18.2,24.2,30.1,18.2,0.77,23.86
2020-07-12,23.84,16.7,24.2,31.7,19.2,0.29,22.35
2020-07-13,0.00,15.4,21.9,28.4,17.7,0.32,18.36
2020-07-14,0.00,16.2,22.2,28.2,16.3,0.94,20.42
2020-07-15,0.00,18.9,24.2,29.4,18.7,1.29,19.00
2020-07-16,69.03,18.3,22.7,27.1,20.2,0.28,10.45
2020-07-17,0.00,17.3,22.6,28.0,19.2,0.15,15.67
2020-07-18,0.00,20.1,25.2,30.3,22.0,0.29,17.01
2020-07-19,0.00,22.7,27.4,32.1,24.0,1.14,15.14
2020-07-20,16.00,19.5,24.5,29.4,20.7,0.71,17.73
2020-07-21,0.01,20.6,25.0,29.5,19.6,0.92,21.21
2020-07-22,9.26,20.4,24.1,27.8,21.4,0.16,10.16
2020-07-23,0.28,16.7,23.1,29.5,20.1,0.19,17.01
2020-07-24,0.00,15.8,21.5,27.2,17.7,0.15,15.92
2020-07-25,0.00,17.3,23.2,29.0,18.8,0.26,19.00
2020-07-26,0.00,20.8,26.1,31.3,22.3,0.62,18.38
2020-07-27,0.00,22.6,27.8,33.0,23.8,0.39,19.81
2020-07-28,10.04,16.9,22.8,28.8,20.6,0.23,14.44
2020-07-29,0.00,18.0,23.9,29.8,17.9,1.07,22.97
2020-07-30,0.00,20.2,25.5,30.7,21.0,0.66,19.50
2020-07-31,12.39,17.5,21.1,24.6,19.2,0.32,6.87
2020-08-01,2.38,18.2,22.3,26.3,17.9,0.85,14.00
2020-08-02,7.63,17.0,20.6,24.3,17.9,0.37,9.49
2020-08-03,0.34,16.2,22.2,28.3,17.6,0.31,18.57
2020-08-04,0.00,14.0,18.0,21.9,15.4,0.55,7.76
2020-08-05,0.00,10.1,16.4,22.6,11.1,0.36,15.10
2020-08-06,0.00,11.7,18.3,24.8,12.6,0.40,17.50
2020-08-07,0.00,13.1,19.6,26.2,14.0,0.41,18.63
2020-08-08,0.00,15.8,21.6,27.3,15.6,1.13,18.92
2020-08-09,0.00,18.3,23.6,29.0,20.2,0.41,14.29
2020-08-10,0.00,20.6,25.0,29.5,22.4,0.41,13.10
2020-08-11,3.13,17.4,25.3,33.3,20.6,0.16,19.38
2020-08-12,0.00,15.2,21.4,27.5,17.5,0.17,17.31
2020-08-13,0.00,16.5,22.5,28.4,16.6,0.42,21.86
2020-08-14,0.00,16.4,23.1,29.9,18.6,0.51,21.65
2020-08-15,0.00,16.3,23.1,29.9,18.2,0.34,21.88
2020-08-16,21.87,14.9,22.5,30.1,18.6,0.51,19.67
2020-08-17,0.00,16.3,22.7,29.1,16.6,0.79,21.99
2020-08-18,10.21,16.3,23.1,30.0,18.5,0.31,22.38
2020-08-19,0.00,11.7,19.2,26.8,13.9,0.71,18.14
2020-08-20,0.00,11.9,19.3,26.6,13.1,0.49,20.48
2020-08-21,0.00,12.9,20.3,27.7,14.3,0.37,21.42
2020-08-22,0.00,13.8,21.1,28.4,15.6,0.38,21.49
2020-08-23,0.00,16.2,22.4,28.6,16.8,0.88,20.60
2020-08-24,0.05,18.3,24.5,30.7,20.1,0.35,20.41
2020-08-25,0.00,20.7,27.1,33.5,22.1,0.70,25.68
2020-08-26,0.00,21.0,27.1,33.3,21.5,1.04,26.95
2020-08-27,0.00,22.1,27.3,32.6,22.1,0.64,24.73
2020-08-28,0.00,21.4,26.6,31.8,22.8,0.28,20.05
2020-08-29,0.00,19.9,26.3,32.7,21.8,0.43,23.42
2020-08-30,0.00,11.6,18.9,26.2,13.8,0.69,18.56
2020-08-31,0.00,14.1,20.3,26.5,13.7,1.07,20.01
2020-09-01,0.00,16.6,22.0,27.3,19.0,0.74,14.16
2020-09-02,22.24,19.2,21.3,23.4,20.2,0.61,5.55
2020-09-03,0.00,15.6,21.4,27.1,17.8,0.53,16.15
2020-09-04,0.00,9.8,19.6,29.3,12.7,0.73,23.84
2020-09-05,0.00,11.0,18.3,25.6,10.0,1.35,21.87
2020-09-06,5.65,14.8,22.0,29.2,13.6,1.15,26.40
2020-09-07,26.52,16.0,22.0,28.0,19.4,0.45,12.45
2020-09-08,34.98,15.4,21.0,26.6,17.2,0.81,14.42
2020-09-09,11.14,15.3,18.7,22.2,17.1,0.45,4.81
2020-09-10,0.00,14.2,18.4,22.5,17.2,0.42,5.06
2020-09-11,0.29,14.5,17.6,20.7,15.8,0.49,5.68
2020-09-12,1.82,16.2,19.8,23.4,18.0,0.57,7.59
2020-09-13,20.53,15.1,18.8,22.6,18.4,0.51,3.08
2020-09-14,0.00,12.8,19.2,25.6,14.2,0.60,17.67
2020-09-15,0.00,12.3,18.4,24.6,13.4,0.56,16.36
2020-09-16,0.00,11.7,19.0,26.3,13.1,0.90,19.53
2020-09-17,0.00,12.6,20.3,28.1,15.2,0.81,21.37
2020-09-18,0.00,10.0,17.1,24.2,11.4,0.82,14.88
2020-09-19,0.00,4.6,12.1,19.6,4.8,0.59,14.31
2020-09-20,0.00,5.4,13.0,20.7,4.4,0.85,17.19
2020-09-21,0.00,6.8,15.1,23.4,4.5,1.29,21.92
2020-09-22,0.00,8.6,17.2,25.9,8.1,0.86,25.05
2020-09-23,0.00,10.7,18.4,26.0,11.8,0.81,19.54
2020-09-24,0.00,11.2,17.9,24.7,12.1,0.59,17.39
2020-09-25,0.00,11.6,18.8,26.1,12.1,0.73,20.00
2020-09-26,0.00,12.7,20.1,27.5,14.8,0.69,21.68
2020-09-27,0.00,16.9,23.0,29.1,16.0,0.97,23.95
2020-09-28,11.34,11.1,19.1,27.1,12.6,0.43,18.94
2020-09-29,0.49,6.7,12.9,19.1,8.7,0.39,11.47
2020-09-30,0.00,7.1,12.1,17.2,7.5,0.42,10.29
2020-10-01,0.68,7.0,13.7,20.3,5.7,1.40,14.69
2020-10-02,1.37,4.7,10.9,17.0,5.3,0.42,10.92
2020-10-03,0.00,4.7,9.8,15.0,3.5,0.36,10.03
2020-10-04,12.69,6.5,10.8,15.0,6.7,0.53,9.22
2020-10-05,0.00,1.0,7.5,14.0,1.2,0.40,10.23
2020-10-06,0.00,2.1,10.3,18.4,1.5,1.05,15.36
2020-10-07,0.00,11.2,18.3,25.4,9.2,2.16,22.11
2020-10-08,0.00,8.1,18.1,28.1,7.5,1.14,28.83
2020-10-09,0.00,8.6,17.0,25.5,6.4,1.39,24.39
2020-10-10,0.00,12.0,20.4,28.8,13.6,1.34,26.69
2020-10-11,0.00,12.3,20.6,29.0,14.1,0.91,19.82
2020-10-12,0.00,12.2,20.3,28.5,15.1,0.50,21.54
2020-10-13,0.96,4.5,12.9,21.3,7.4,0.76,12.32
2020-10-14,0.00,5.6,15.0,24.4,2.6,1.75,23.80
2020-10-15,0.97,8.8,18.0,27.2,4.2,3.62,29.29
2020-10-16,0.00,-0.0,7.2,14.5,-2.7,1.31,12.68
2020-10-17,0.00,0.3,8.0,15.8,-3.0,1.25,13.94
2020-10-18,0.27,6.6,12.8,19.1,-1.2,4.39,17.12
2020-10-19,2.00,3.9,9.0,14.1,3.4,0.67,8.16
2020-10-20,0.00,4.6,8.1,11.7,3.3,0.80,5.89
2020-10-21,3.23,5.0,9.5,14.0,7.7,0.31,7.22
2020-10-22,3.73,7.2,10.6,14.1,8.6,0.26,5.47
2020-10-23,0.00,11.3,19.6,27.9,16.3,0.36,18.44
2020-10-24,8.33,0.8,9.2,17.5,4.5,0.28,2.72
2020-10-25,0.00,0.8,4.9,9.0,0.8,0.54,5.20
2020-10-26,0.00,2.3,6.1,9.8,2.2,0.48,5.14
2020-10-27,2.15,1.3,2.7,4.0,0.5,0.31,1.67
2020-10-28,1.34,0.4,3.0,5.5,1.1,0.33,2.61
2020-10-29,0.00,1.1,5.6,10.2,1.4,0.46,6.21
2020-10-30,0.00,-1.2,4.6,10.5,0.8,0.75,4.69
2020-10-31,0.00,-1.6,4.2,10.0,-3.0,0.70,7.18
2020-11-01,0.00,0.5,8.5,16.4,1.8,1.11,10.89
2020-11-02,0.00,-5.9,0.4,6.8,-7.4,0.72,6.38
2020-11-03,0.00,-4.0,3.9,11.7,-5.1,0.90,10.17
2020-11-04,0.00,3.6,12.6,21.6,3.2,2.35,18.82
2020-11-05,0.00,9.5,16.5,23.5,6.0,2.69,19.74
2020-11-06,0.00,7.6,15.1,22.6,6.5,1.43,17.08
2020-11-07,0.00,7.2,15.8,24.4,8.0,1.20,18.45
2020-11-08,0.00,8.1,15.6,23.0,8.9,1.40,16.99
2020-11-09,0.00,14.3,19.8,25.3,13.7,2.34,14.96
2020-11-10,0.00,16.6,20.7,24.8,15.4,2.11,14.09
2020-11-11,12.52,1.3,12.3,23.3,9.8,0.70,10.16
2020-11-12,0.00,-0.5,4.2,9.0,-0.3,0.35,5.21
2020-11-13,0.01,-1.9,5.3,12.5,1.5,0.23,7.93
2020-11-14,0.00,-3.6,1.2,6.0,-5.1,0.71,5.28
2020-11-15,7.11,-0.9,6.2,13.2,5.7,0.50,3.27
2020-11-16,0.92,-0.7,3.3,7.2,-0.8,0.71,3.71
2020-11-17,0.00,-1.2,5.9,13.1,-1.2,0.81,9.43
2020-11-18,0.00,-2.0,2.6,7.1,-4.7,0.75,6.49
2020-11-19,0.00,0.3,5.7,11.1,-3.6,1.86,8.69
2020-11-20,0.00,9.2,14.7,20.2,2.3,4.35,16.65
2020-11-21,0.00,5.5,11.5,17.5,3.6,1.83,11.00
2020-11-22,5.60,4.2,7.4,10.5,2.0,0.40,6.04
2020-11-23,0.04,-0.7,3.7,8.1,2.2,0.32,3.31
2020-11-24,8.31,-0.1,4.0,8.1,0.7,0.24,4.55
2020-11-25,8.58,4.4,6.6,8.8,5.0,0.36,3.04
2020-11-26,4.91,5.8,8.1,10.3,7.4,0.10,0.77
2020-11-27,0.00,0.7,4.6,8.6,3.0,0.30,3.17
2020-11-28,0.00,-3.3,2.3,7.8,0.3,0.18,2.64
2020-11-29,0.00,-2.9,4.0,10.9,-0.1,0.44,6.19
2020-11-30,0.00,-0.0,5.0,10.1,-0.9,0.90,5.71
2020-12-01,0.00,-7.2,-3.1,0.9,-7.0,0.47,2.71
2020-12-02,0.00,-7.4,-2.6,2.3,-7.7,0.41,3.74
2020-12-03,0.00,-6.9,0.6,8.0,-6.9,0.53,7.38
2020-12-04,0.00,-3.8,2.9,9.5,-3.0,0.48,8.00
2020-12-05,0.00,-5.3,2.0,9.3,-2.7,0.19,6.76
2020-12-06,0.00,-5.2,1.1,7.3,-2.6,0.25,4.75
2020-12-07,0.00,-1.6,1.9,5.3,-2.1,0.49,3.78
2020-12-08,0.00,-1.4,2.1,5.5,-2.5,0.59,4.15
2020-12-09,0.00,-0.2,2.0,4.2,-1.3,0.43,2.61
2020-12-10,0.00,-1.5,6.4,14.4,-0.6,0.51,10.17
2020-12-11,0.00,-0.8,7.9,16.7,1.5,0.59,11.51
2020-12-12,22.21,2.6,5.7,8.9,5.2,0.29,2.76
2020-12-13,0.74,-1.7,2.4,6.5,1.0,0.26,1.12
2020-12-14,0.00,-3.2,0.3,3.7,-2.9,0.37,2.39
2020-12-15,0.00,-6.1,-2.4,1.4,-7.0,0.51,3.10
2020-12-16,0.30,-6.0,-2.6,0.8,-6.5,0.50,2.76
2020-12-17,0.79,-3.1,-1.9,-0.7,-3.8,0.48,1.22
2020-12-18,0.00,-5.9,-1.5,3.0,-5.6,0.34,3.96
2020-12-19,0.00,-4.5,0.0,4.6,-1.3,0.54,2.27
2020-12-20,0.00,-0.8,4.0,8.9,0.4,0.48,4.00
2020-12-21,0.00,-1.7,2.6,6.9,-1.2,0.43,4.44
2020-12-22,0.00,-3.2,3.5,10.2,-2.3,0.48,7.34
2020-12-23,0.00,-3.5,2.4,8.3,-1.9,0.50,5.37
2020-12-24,0.43,-10.4,2.3,15.1,-1.8,0.60,7.03
2020-12-25,0.00,-14.4,-11.0,-7.7,-15.8,0.44,1.48
2020-12-26,0.00,-13.7,-9.7,-5.8,-14.7,0.56,2.03
2020-12-27,0.00,-7.9,-1.3,5.3,-6.9,0.57,5.16
2020-12-28,0.00,-3.5,3.7,10.9,-1.1,0.55,5.88
2020-12-29,0.00,-9.8,-5.4,-0.9,-7.9,0.30,2.05
2020-12-30,5.97,-7.2,-1.3,4.6,-4.2,0.26,2.61
2020-12-31,0.00,-7.2,-1.4,4.4,-4.2,0.15,1.60
2021-01-01,1.04,-7.4,-4.0,-0.6,-6.5,0.31,1.84
2021-01-02,19.03,-2.3,-0.7,0.9,-1.0,0.18,0.66
2021-01-03,3.96,-1.8,-0.6,0.6,-1.1,0.18,0.56
2021-01-04,0.00,-5.1,-2.2,0.7,-3.5,0.13,1.10
2021-01-05,0.00,-5.2,-2.3,0.6,-2.5,0.10,0.48
2021-01-06,0.00,-4.0,-1.9,0.2,-2.7,0.17,0.60
2021-01-07,0.00,-5.2,-2.1,1.2,-2.7,0.18,1.06
2021-01-08,0.00,-4.5,-1.0,2.3,-2.4,0.32,2.11
2021-01-09,0.00,-3.5,-1.4,0.6,-3.4,0.46,1.47
2021-01-10,0.00,-3.9,-2.1,-0.2,-5.6,0.66,1.69
2021-01-11,0.00,-5.8,-3.9,-2.0,-6.2,0.30,1.46
2021-01-12,0.00,-4.9,-3.0,-1.1,-5.1,0.39,1.20
2021-01-13,0.00,-4.1,0.2,4.4,-2.4,0.35,2.58
2021-01-14,0.00,-0.3,2.7,5.6,-0.7,0.63,2.86
2021-01-15,3.64,0.3,2.5,4.5,0.5,0.39,1.70
2021-01-16,4.14,-3.6,-0.5,2.5,-1.5,0.16,1.47
2021-01-17,0.00,-2.2,0.1,2.4,-1.0,0.16,0.97
2021-01-18,0.32,-5.1,-3.0,-1.0,-4.2,0.31,1.02
2021-01-19,0.00,-8.0,-3.3,1.2,-5.8,0.38,2.36
2021-01-20,0.00,-11.0,-4.2,2.5,-6.3,0.33,2.40
2021-01-21,0.00,-10.9,-4.2,2.4,-6.0,0.42,2.61
2021-01-22,0.00,-7.5,0.6,8.6,-5.4,0.87,6.97
